국가,사고(건),사망(명),자동차1만대당 사망(명),인구10만명당 사망(명)
그리스,"10,487",654,0.6,6.3
네덜란드,"22,885",655,0.5,3.7
노르웨이,"3,497",116,0.3,2.1
뉴질랜드,"10,941",375,1.0,7.3
대한민국,"196,836","2,735",0.9,5.3
덴마크,"2,563",154,0.5,2.6
독일,"289,672","2,788",0.5,3.3
라트비아,-,113,1.3,6.0
룩셈부르크,"1,094",36,0.7,5.5
리투아니아,"2,878",120,0.6,4.2
멕시코,-,-,-,-
미국,"5,930,496","42,514",1.4,12.8
벨기에,"37,650",540,0.8,4.6
스웨덴,"12,606",227,0.3,2.2
스위스,"18,396",241,0.4,2.7
스페인,"91,149","1,746",0.5,3.7
슬로바키아,"4,481",266,1.0,4.9
슬로베니아,"5,983",85,0.5,4.0
아이슬란드,904,9,0.2,2.4
아일랜드,"5,785",155,0.5,3.0
에스토니아,"1,671",49,0.5,3.6
영국,"111,120","1,766",0.4,2.6
오스트리아,"34,869",370,0.5,4.1
이스라엘,"10,404",351,0.9,3.7
이탈리아,"165,889","3,159",0.6,5.4
일본,"300,839","3,216",0.4,2.6
체코,"19,736",527,0.7,4.9
칠레,"36,199","2,137",3.5,10.8
캐나다,"94,669","1,934",0.7,5.0
코스타리카,-,786,3.0,15.1
콜롬비아,-,"8,146",4.6,15.8
튀르키예,-,-,-,-
포르투갈,"34,276",618,0.8,5.9
폴란드,"21,322","1,896",0.5,5.0
프랑스,"52,380","3,267",0.7,4.8
핀란드,"3,110",196,0.4,3.5
헝가리,"14,754",535,1.2,5.5
호주,-,"1,111",0.5,4.3
